schoolsb,grade,test,profcatlabel,n,tot,per
DON,Grade 3,math_unit,Proficient (> 80%),14,32,43.7
DON,Grade 3,math_unit,Needs Improvement (65-79%),12,32,37.5
DON,Grade 3,math_unit,Warning (< 65%),6,32,18.8
DON,Grade 4,math_unit,Proficient (> 80%),1,24,4.2
DON,Grade 4,math_unit,Needs Improvement (65-79%),8,24,33.3
DON,Grade 4,math_unit,Warning (< 65%),15,24,62.5
DON,Grade 4,read_maravillas,Warning (< 65%),1,1,100
DON,Grade 4,read_wonders,Needs Improvement (65-79%),1,1,100
DON,Grade 4,reading,Proficient (> 80%),7,40,17.5
DON,Grade 4,reading,Needs Improvement (65-79%),3,40,7.5
DON,Grade 4,reading,Warning (< 65%),30,40,75
DON,Grade 4,write_conventions,Proficient (> 80%),6,46,13.1
DON,Grade 4,write_conventions,Needs Improvement (65-79%),37,46,80.4
DON,Grade 4,write_conventions,Warning (< 65%),3,46,6.5
DON,Grade 4,write_end_per,Proficient (> 80%),4,46,8.7
DON,Grade 4,write_end_per,Needs Improvement (65-79%),4,46,8.7
DON,Grade 4,write_end_per,Warning (< 65%),38,46,82.6
DON,Grade 4,write_ideas,Proficient (> 80%),7,46,15.2
DON,Grade 4,write_ideas,Needs Improvement (65-79%),14,46,30.4
DON,Grade 4,write_ideas,Warning (< 65%),25,46,54.4
DON,Grade 5,math_unit,Proficient (> 80%),5,40,12.5
DON,Grade 5,math_unit,Needs Improvement (65-79%),17,40,42.5
DON,Grade 5,math_unit,Warning (< 65%),18,40,45
DON,Grade 5,reading,Proficient (> 80%),5,33,15.1
DON,Grade 5,reading,Needs Improvement (65-79%),2,33,6.1
DON,Grade 5,reading,Warning (< 65%),26,33,78.8
DON,Grade 5,write_conventions,Proficient (> 80%),1,38,2.6
DON,Grade 5,write_conventions,Needs Improvement (65-79%),35,38,92.1
DON,Grade 5,write_conventions,Warning (< 65%),2,38,5.3
DON,Grade 5,write_end_per,Proficient (> 80%),1,38,2.6
DON,Grade 5,write_end_per,Needs Improvement (65-79%),10,38,26.3
DON,Grade 5,write_end_per,Warning (< 65%),27,38,71.1
DON,Grade 5,write_ideas,Proficient (> 80%),12,38,31.6
DON,Grade 5,write_ideas,Needs Improvement (65-79%),17,38,44.7
DON,Grade 5,write_ideas,Warning (< 65%),9,38,23.7
DON,Grade 8,math_unit,Needs Improvement (65-79%),1,2,50
DON,Grade 8,math_unit,Warning (< 65%),1,2,50
DON,Grade 8,reading,Proficient (> 80%),9,36,25
DON,Grade 8,reading,Needs Improvement (65-79%),9,36,25
DON,Grade 8,reading,Warning (< 65%),18,36,50
DON,Grade 8,write_conventions,Proficient (> 80%),7,41,17.1
DON,Grade 8,write_conventions,Needs Improvement (65-79%),20,41,48.8
DON,Grade 8,write_conventions,Warning (< 65%),14,41,34.1
DON,Grade 8,write_end_per,Proficient (> 80%),5,41,12.2
DON,Grade 8,write_end_per,Needs Improvement (65-79%),3,41,7.3
DON,Grade 8,write_end_per,Warning (< 65%),33,41,80.5
DON,Grade 8,write_ideas,Proficient (> 80%),6,41,14.6
DON,Grade 8,write_ideas,Needs Improvement (65-79%),12,41,29.3
DON,Grade 8,write_ideas,Warning (< 65%),23,41,56.1
ENW,Kindergarten,read_maravillas,Proficient (> 80%),14,37,37.8
ENW,Kindergarten,read_maravillas,Needs Improvement (65-79%),17,37,46
ENW,Kindergarten,read_maravillas,Warning (< 65%),6,37,16.2
ENW,Kindergarten,read_wonders,Proficient (> 80%),28,36,77.8
ENW,Kindergarten,read_wonders,Needs Improvement (65-79%),6,36,16.7
ENW,Kindergarten,read_wonders,Warning (< 65%),2,36,5.5
ENW,Grade 1,read_maravillas,Proficient (> 80%),25,38,65.8
ENW,Grade 1,read_maravillas,Needs Improvement (65-79%),5,38,13.2
ENW,Grade 1,read_maravillas,Warning (< 65%),8,38,21
ENW,Grade 1,read_wonders,Proficient (> 80%),21,38,55.3
ENW,Grade 1,read_wonders,Needs Improvement (65-79%),14,38,36.8
ENW,Grade 1,read_wonders,Warning (< 65%),3,38,7.9
ENW,Grade 2,read_maravillas,Proficient (> 80%),5,40,12.5
ENW,Grade 2,read_maravillas,Needs Improvement (65-79%),4,40,10
ENW,Grade 2,read_maravillas,Warning (< 65%),31,40,77.5
ENW,Grade 2,read_wonders,Proficient (> 80%),4,40,10
ENW,Grade 2,read_wonders,Needs Improvement (65-79%),10,40,25
ENW,Grade 2,read_wonders,Warning (< 65%),26,40,65
ENW,Grade 3,math_unit,Proficient (> 80%),16,57,28.1
ENW,Grade 3,math_unit,Needs Improvement (65-79%),11,57,19.3
ENW,Grade 3,math_unit,Warning (< 65%),30,57,52.6
ENW,Grade 3,read_maravillas,Proficient (> 80%),6,16,37.5
ENW,Grade 3,read_maravillas,Needs Improvement (65-79%),4,16,25
ENW,Grade 3,read_maravillas,Warning (< 65%),6,16,37.5
ENW,Grade 3,read_wonders,Proficient (> 80%),5,27,18.5
ENW,Grade 3,read_wonders,Needs Improvement (65-79%),7,27,25.9
ENW,Grade 3,read_wonders,Warning (< 65%),15,27,55.6
ENW,Grade 3,reading,Proficient (> 80%),3,25,12
ENW,Grade 3,reading,Needs Improvement (65-79%),6,25,24
ENW,Grade 3,reading,Warning (< 65%),16,25,64
ENW,Grade 3,write_conventions,Proficient (> 80%),1,26,3.8
ENW,Grade 3,write_conventions,Needs Improvement (65-79%),24,26,92.3
ENW,Grade 3,write_conventions,Warning (< 65%),1,26,3.9
ENW,Grade 3,write_end_per,Proficient (> 80%),1,26,3.9
ENW,Grade 3,write_end_per,Needs Improvement (65-79%),3,26,11.5
ENW,Grade 3,write_end_per,Warning (< 65%),22,26,84.6
ENW,Grade 3,write_ideas,Proficient (> 80%),4,26,15.4
ENW,Grade 3,write_ideas,Needs Improvement (65-79%),7,26,26.9
ENW,Grade 3,write_ideas,Warning (< 65%),15,26,57.7
ENW,Grade 4,math_unit,Proficient (> 80%),14,47,29.8
ENW,Grade 4,math_unit,Needs Improvement (65-79%),13,47,27.7
ENW,Grade 4,math_unit,Warning (< 65%),20,47,42.5
ENW,Grade 4,read_maravillas,Proficient (> 80%),7,19,36.8
ENW,Grade 4,read_maravillas,Needs Improvement (65-79%),5,19,26.3
ENW,Grade 4,read_maravillas,Warning (< 65%),7,19,36.9
ENW,Grade 4,read_wonders,Needs Improvement (65-79%),1,20,5
ENW,Grade 4,read_wonders,Warning (< 65%),19,20,95
ENW,Grade 4,reading,Proficient (> 80%),6,27,22.2
ENW,Grade 4,reading,Needs Improvement (65-79%),5,27,18.5
ENW,Grade 4,reading,Warning (< 65%),16,27,59.3
ENW,Grade 4,write_conventions,Proficient (> 80%),7,27,25.9
ENW,Grade 4,write_conventions,Needs Improvement (65-79%),10,27,37
ENW,Grade 4,write_conventions,Warning (< 65%),10,27,37.1
ENW,Grade 4,write_end_per,Proficient (> 80%),5,27,18.5
ENW,Grade 4,write_end_per,Needs Improvement (65-79%),5,27,18.5
ENW,Grade 4,write_end_per,Warning (< 65%),17,27,63
ENW,Grade 4,write_ideas,Proficient (> 80%),10,27,37
ENW,Grade 4,write_ideas,Needs Improvement (65-79%),4,27,14.8
ENW,Grade 4,write_ideas,Warning (< 65%),13,27,48.2
ENW,Grade 5,math_unit,Proficient (> 80%),3,54,5.6
ENW,Grade 5,math_unit,Needs Improvement (65-79%),2,54,3.7
ENW,Grade 5,math_unit,Warning (< 65%),49,54,90.7
ENW,Grade 5,reading,Proficient (> 80%),8,43,18.6
ENW,Grade 5,reading,Needs Improvement (65-79%),2,43,4.7
ENW,Grade 5,reading,Warning (< 65%),33,43,76.7
ENW,Grade 5,write_conventions,Proficient (> 80%),6,43,13.9
ENW,Grade 5,write_conventions,Needs Improvement (65-79%),34,43,79.1
ENW,Grade 5,write_conventions,Warning (< 65%),3,43,7
ENW,Grade 5,write_end_per,Proficient (> 80%),4,43,9.3
ENW,Grade 5,write_end_per,Needs Improvement (65-79%),4,43,9.3
ENW,Grade 5,write_end_per,Warning (< 65%),35,43,81.4
ENW,Grade 5,write_ideas,Proficient (> 80%),8,43,18.6
ENW,Grade 5,write_ideas,Needs Improvement (65-79%),14,43,32.6
ENW,Grade 5,write_ideas,Warning (< 65%),21,43,48.8
KLY,Kindergarten,read_maravillas,Proficient (> 80%),12,17,70.6
KLY,Kindergarten,read_maravillas,Needs Improvement (65-79%),1,17,5.9
KLY,Kindergarten,read_maravillas,Warning (< 65%),4,17,23.5
KLY,Grade 1,read_maravillas,Proficient (> 80%),6,20,30
KLY,Grade 1,read_maravillas,Needs Improvement (65-79%),9,20,45
KLY,Grade 1,read_maravillas,Warning (< 65%),5,20,25
KLY,Grade 3,math_unit,Proficient (> 80%),1,2,50
KLY,Grade 3,math_unit,Warning (< 65%),1,2,50
KLY,Grade 3,reading,Proficient (> 80%),1,34,2.9
KLY,Grade 3,reading,Needs Improvement (65-79%),5,34,14.7
KLY,Grade 3,reading,Warning (< 65%),28,34,82.4
KLY,Grade 3,write_conventions,Warning (< 65%),1,1,100
KLY,Grade 3,write_end_per,Warning (< 65%),1,1,100
KLY,Grade 3,write_ideas,Warning (< 65%),1,1,100
KLY,Grade 4,math_unit,Proficient (> 80%),3,53,5.7
KLY,Grade 4,math_unit,Needs Improvement (65-79%),4,53,7.5
KLY,Grade 4,math_unit,Warning (< 65%),46,53,86.8
KLY,Grade 4,reading,Proficient (> 80%),12,54,22.2
KLY,Grade 4,reading,Needs Improvement (65-79%),4,54,7.4
KLY,Grade 4,reading,Warning (< 65%),38,54,70.4
KLY,Grade 4,write_conventions,Proficient (> 80%),12,52,23.1
KLY,Grade 4,write_conventions,Needs Improvement (65-79%),28,52,53.8
KLY,Grade 4,write_conventions,Warning (< 65%),12,52,23.1
KLY,Grade 4,write_end_per,Proficient (> 80%),12,52,23.1
KLY,Grade 4,write_end_per,Warning (< 65%),40,52,76.9
KLY,Grade 4,write_ideas,Proficient (> 80%),12,52,23.1
KLY,Grade 4,write_ideas,Needs Improvement (65-79%),16,52,30.8
KLY,Grade 4,write_ideas,Warning (< 65%),24,52,46.1
LAW,Kindergarten,read_maravillas,Warning (< 65%),1,1,100
LAW,Grade 3,math_unit,Proficient (> 80%),11,40,27.5
LAW,Grade 3,math_unit,Needs Improvement (65-79%),11,40,27.5
LAW,Grade 3,math_unit,Warning (< 65%),18,40,45
LAW,Grade 3,read_maravillas,Needs Improvement (65-79%),1,1,100
LAW,Grade 3,read_wonders,Warning (< 65%),1,1,100
LAW,Grade 3,reading,Proficient (> 80%),9,39,23.1
LAW,Grade 3,reading,Needs Improvement (65-79%),5,39,12.8
LAW,Grade 3,reading,Warning (< 65%),25,39,64.1
LAW,Grade 3,write_conventions,Needs Improvement (65-79%),22,40,55
LAW,Grade 3,write_conventions,Warning (< 65%),18,40,45
LAW,Grade 3,write_end_per,Needs Improvement (65-79%),9,40,22.5
LAW,Grade 3,write_end_per,Warning (< 65%),31,40,77.5
LAW,Grade 3,write_ideas,Proficient (> 80%),10,40,25
LAW,Grade 3,write_ideas,Needs Improvement (65-79%),9,40,22.5
LAW,Grade 3,write_ideas,Warning (< 65%),21,40,52.5
MCM,Grade 3,math_unit,Proficient (> 80%),10,33,30.3
MCM,Grade 3,math_unit,Needs Improvement (65-79%),5,33,15.2
MCM,Grade 3,math_unit,Warning (< 65%),18,33,54.5
MCM,Grade 3,reading,Proficient (> 80%),20,33,60.6
MCM,Grade 3,reading,Needs Improvement (65-79%),3,33,9.1
MCM,Grade 3,reading,Warning (< 65%),10,33,30.3
MCM,Grade 3,write_conventions,Needs Improvement (65-79%),32,33,97
MCM,Grade 3,write_conventions,Warning (< 65%),1,33,3
MCM,Grade 3,write_end_per,Proficient (> 80%),1,33,3
MCM,Grade 3,write_end_per,Needs Improvement (65-79%),6,33,18.2
MCM,Grade 3,write_end_per,Warning (< 65%),26,33,78.8
MCM,Grade 3,write_ideas,Proficient (> 80%),8,33,24.3
MCM,Grade 3,write_ideas,Needs Improvement (65-79%),21,33,63.6
MCM,Grade 3,write_ideas,Warning (< 65%),4,33,12.1
MCM,Grade 4,math_unit,Proficient (> 80%),11,39,28.2
MCM,Grade 4,math_unit,Needs Improvement (65-79%),11,39,28.2
MCM,Grade 4,math_unit,Warning (< 65%),17,39,43.6
MCM,Grade 4,reading,Proficient (> 80%),9,40,22.5
MCM,Grade 4,reading,Needs Improvement (65-79%),2,40,5
MCM,Grade 4,reading,Warning (< 65%),29,40,72.5
MCM,Grade 4,write_conventions,Proficient (> 80%),1,39,2.6
MCM,Grade 4,write_conventions,Needs Improvement (65-79%),33,39,84.6
MCM,Grade 4,write_conventions,Warning (< 65%),5,39,12.8
MCM,Grade 4,write_end_per,Needs Improvement (65-79%),3,39,7.7
MCM,Grade 4,write_end_per,Warning (< 65%),36,39,92.3
MCM,Grade 4,write_ideas,Proficient (> 80%),2,39,5.1
MCM,Grade 4,write_ideas,Needs Improvement (65-79%),14,39,35.9
MCM,Grade 4,write_ideas,Warning (< 65%),23,39,59
MCM,Grade 5,math_unit,Proficient (> 80%),7,46,15.2
MCM,Grade 5,math_unit,Needs Improvement (65-79%),7,46,15.2
MCM,Grade 5,math_unit,Warning (< 65%),32,46,69.6
MCM,Grade 5,reading,Proficient (> 80%),6,46,13
MCM,Grade 5,reading,Needs Improvement (65-79%),1,46,2.2
MCM,Grade 5,reading,Warning (< 65%),39,46,84.8
MCM,Grade 5,write_conventions,Proficient (> 80%),4,46,8.7
MCM,Grade 5,write_conventions,Needs Improvement (65-79%),25,46,54.3
MCM,Grade 5,write_conventions,Warning (< 65%),17,46,37
MCM,Grade 5,write_end_per,Proficient (> 80%),6,46,13
MCM,Grade 5,write_end_per,Needs Improvement (65-79%),1,46,2.2
MCM,Grade 5,write_end_per,Warning (< 65%),39,46,84.8
MCM,Grade 5,write_ideas,Proficient (> 80%),7,46,15.2
MCM,Grade 5,write_ideas,Needs Improvement (65-79%),14,46,30.4
MCM,Grade 5,write_ideas,Warning (< 65%),25,46,54.4
MCM,Grade 6,math_unit,Proficient (> 80%),14,28,50
MCM,Grade 6,math_unit,Needs Improvement (65-79%),9,28,32.1
MCM,Grade 6,math_unit,Warning (< 65%),5,28,17.9
MCM,Grade 6,reading,Proficient (> 80%),10,28,35.7
MCM,Grade 6,reading,Needs Improvement (65-79%),5,28,17.9
MCM,Grade 6,reading,Warning (< 65%),13,28,46.4
MCM,Grade 6,write_conventions,Proficient (> 80%),3,28,10.7
MCM,Grade 6,write_conventions,Needs Improvement (65-79%),18,28,64.3
MCM,Grade 6,write_conventions,Warning (< 65%),7,28,25
MCM,Grade 6,write_end_per,Proficient (> 80%),3,28,10.7
MCM,Grade 6,write_end_per,Needs Improvement (65-79%),1,28,3.6
MCM,Grade 6,write_end_per,Warning (< 65%),24,28,85.7
MCM,Grade 6,write_ideas,Proficient (> 80%),4,28,14.3
MCM,Grade 6,write_ideas,Needs Improvement (65-79%),9,28,32.1
MCM,Grade 6,write_ideas,Warning (< 65%),15,28,53.6
MCM,Grade 7,math_unit,Proficient (> 80%),3,35,8.6
MCM,Grade 7,math_unit,Needs Improvement (65-79%),5,35,14.3
MCM,Grade 7,math_unit,Warning (< 65%),27,35,77.1
MCM,Grade 7,reading,Proficient (> 80%),1,36,2.8
MCM,Grade 7,reading,Needs Improvement (65-79%),11,36,30.5
MCM,Grade 7,reading,Warning (< 65%),24,36,66.7
MCM,Grade 7,write_conventions,Proficient (> 80%),4,36,11.1
MCM,Grade 7,write_conventions,Needs Improvement (65-79%),16,36,44.4
MCM,Grade 7,write_conventions,Warning (< 65%),16,36,44.5
MCM,Grade 7,write_end_per,Needs Improvement (65-79%),3,36,8.3
MCM,Grade 7,write_end_per,Warning (< 65%),33,36,91.7
MCM,Grade 7,write_ideas,Needs Improvement (65-79%),11,36,30.6
MCM,Grade 7,write_ideas,Warning (< 65%),25,36,69.4
MCM,Grade 8,math_unit,Proficient (> 80%),7,38,18.4
MCM,Grade 8,math_unit,Needs Improvement (65-79%),11,38,29
MCM,Grade 8,math_unit,Warning (< 65%),20,38,52.6
MCM,Grade 8,reading,Proficient (> 80%),5,40,12.5
MCM,Grade 8,reading,Needs Improvement (65-79%),7,40,17.5
MCM,Grade 8,reading,Warning (< 65%),28,40,70
MCM,Grade 8,write_conventions,Proficient (> 80%),6,40,15
MCM,Grade 8,write_conventions,Needs Improvement (65-79%),21,40,52.5
MCM,Grade 8,write_conventions,Warning (< 65%),13,40,32.5
MCM,Grade 8,write_end_per,Proficient (> 80%),5,40,12.5
MCM,Grade 8,write_end_per,Needs Improvement (65-79%),1,40,2.5
MCM,Grade 8,write_end_per,Warning (< 65%),34,40,85
MCM,Grade 8,write_ideas,Proficient (> 80%),5,40,12.5
MCM,Grade 8,write_ideas,Needs Improvement (65-79%),12,40,30
MCM,Grade 8,write_ideas,Warning (< 65%),23,40,57.5
MET,Kindergarten,read_maravillas,Proficient (> 80%),17,38,44.7
MET,Kindergarten,read_maravillas,Needs Improvement (65-79%),13,38,34.2
MET,Kindergarten,read_maravillas,Warning (< 65%),8,38,21.1
MET,Kindergarten,read_wonders,Proficient (> 80%),18,38,47.4
MET,Kindergarten,read_wonders,Needs Improvement (65-79%),14,38,36.8
MET,Kindergarten,read_wonders,Warning (< 65%),6,38,15.8
MET,Grade 1,read_maravillas,Proficient (> 80%),20,43,46.5
